Noise,Label
3045,1
8860,1
2104,1
2064,1
1955,1
44703,1
3393,1
27147,1
4102,1
20732,1
4418,1
5107,1
20805,1
1351,1
2331,1
2400,1
2772,1
2179,1
2535,1
2184,1
2685,1
3845,1
25102,1
1887,1
4330,1
719,1
2886,1
24064,1
1726,1
1111,1
3606,1
6091,1
8109,1
2596,1
4787,1
3463,1
8672,1
5247,1
28240,1
1710,1
4841,1
4601,1
1741,1
25717,1
15416,1
1905,1
4811,1
3602,1
15435,1
2492,1
2672,1
8756,1
1240,1
1000,1
2681,1
29641,1
2414,1
15900,1
1042,1
2028,1
369,1
6225,1
11345,1
9644,1
4371,1
4015,1
20989,1
3342,1
10683,1
50399,1
6732,1
16355,1
3036,1
21754,1
7428,1
5053,1
3760,1
17767,1
41646,1
1359,1
1295,1
3772,1
7172,1
3414,1
27704,1
20285,1
13897,1
3858,1
1878,1
5755,1
2679,1
2791,1
3059,1
9383,1
1917,1
1520,1
2396,1
2197,1
3519,1
4635,1
2373,1
1903,1
3774,1
903,1
4051,1
1720,1
7046,1
1385,1
18635,1
3904,1
14658,1
2681,1
8390,1
5392,1
659,1
3779,1
6162,1
3983,1
1983,1
28185,1
3836,1
5475,1
3030,1
2236,1
10400,1
2433,1
1786,1
1074,1
5047,1
5157,1
5042,1
2080,1
8873,1
13098,1
5358,1
3959,1
8111,1
5794,1
17130,1
18553,1
2161,1
1654,1
2178,1
8634,1
3208,1
2733,1
35127,1
3132,1
1707,1
42465,1
3467,1
2345,1
1853,1
2758,1
7954,1
4024,1
13631,1
988,1
5047,1
1734,1
4670,1
3052,1
2221,1
1116,1
8514,1
12344,1
2797,1
16063,1
4317,1
4104,1
14470,1
7899,1
2390,1
12407,1
8202,1
10567,1
7034,1
8788,1
3337,1
25243,1
2355,1
2401,1
8794,1
2893,1
13038,1
1984,1
3225,1
1823,1
2966,1
5073,1
1717,1
23957,1
4201,1
3925,1
4052,1
9238,1
8865,1
5826,1
4577,1
3712,1
2383,1
4905,1
2495,1
4004,1
1898,1
2881,1
3016,1
18400,1
8558,1
4342,1
5598,1
15203,1
1339,1
2961,1
4474,1
3345,1
4742,1
